,Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
a,2016-03-24,39.16,39.46,38.89,39.45,786809.0,1.0,0,0.0
aa,2016-03-24,9.18,9.61,9.04,9.56,19833532.99999997,1.0,0,0.0
aal,2016-03-24,41.91,41.95,40.19,40.49,11777876.0,1.0,0,0.0
aap,2016-03-24,160.99,162.09,159.81,161.75,674856.0000000015,1.0,0,0.0
aapl,2016-03-24,105.44,106.25,104.89,105.66,23448634.99999994,1.0,0,0.0
abbv,2016-03-24,56.09,56.25,55.67,56.14,4131252.0,1.0,0,0.0
abc,2016-03-24,86.86,87.25,85.9401,86.2,2139906.000000001,1.0,0,0.0
abt,2016-03-24,40.64,40.9,40.36,40.77,3176954.0,1.0,0,0.0
abx,2016-03-24,13.38,13.67,13.24,13.56,12385606.0,1.0,0,0.0
acas,2016-03-24,14.79,15.15,14.7,15.04,1022266.0,1.0,0,0.0
ace,2016-01-14,110.44,112.35,109.81,109.87,7700455.0,1.0,0,0.0
acn,2016-03-24,108.79,114.44,108.62,114.3,6000094.0,1.0,0,0.0
adbe,2016-03-24,91.5,92.74,91.5,92.52,2983679.0,1.0,0,0.0
adi,2016-03-24,58.05,58.65,57.67,58.635,1600409.0,1.0,0,0.0
adm,2016-03-24,36.3,36.73,35.83,36.48,3115133.000000002,1.0,0,0.0
adp,2016-03-24,88.23,88.77,87.77,88.75,892452.0,1.0,0,0.0
ads,2016-03-24,209.42,212.36,207.11,211.78,519443.0,1.0,0,0.0
adsk,2016-03-24,56.96,57.53,56.17,57.36,1056455.0,1.0,0,0.0
adt,2016-03-24,40.97,41.15,40.95,41.1,1183809.0,1.0,0,0.0
aee,2016-03-24,48.82,49.28,48.68,49.24,993100.000000002,1.0,0,0.0
aep,2016-03-24,65.02,65.4,64.765,65.07,3611306.9999999967,1.0,0,0.0
aes,2016-03-24,11.24,11.58,11.16,11.56,5939986.999999997,1.0,0,0.0
aet,2016-03-24,111.37,112.96,111.22,112.41,1862876.0,1.0,0,0.0
afl,2016-03-24,62.94,62.94,62.34,62.69,1529747.999999999,1.0,0,0.0
agn,2016-03-24,279.77,281.28,278.05,279.46,2048891.0,1.0,0,0.0
aig,2016-03-24,52.97,53.06,52.54,52.99,5202678.0000000065,1.0,0,0.0
aiv,2016-03-24,40.26,40.44,39.94,40.38,682300.9999999981,1.0,0,0.0
aiz,2016-03-24,77.67,77.91,76.41,77.18,583913.0,1.0,0,0.0
akam,2016-03-24,54.65,55.13,54.41,54.84,1163597.0,1.0,0,0.0
aks,2016-03-24,3.98,4.17,3.76,4.16,9000982.0,1.0,0,0.0
all,2016-03-24,66.47,66.5,65.94,66.18,1242273.000000002,1.0,0,0.0
alle,2016-03-24,63.23,63.38,62.69,63.15,384737.0000000002,1.0,0,0.0
alxn,2016-03-24,132.88,136.37,130.37,133.19,1102870.0,1.0,0,0.0
amat,2016-03-24,20.05,20.28,19.71,20.15,11406378.0,1.0,0,0.0
amcc,2016-03-24,6.2,6.4,6.15,6.4,339533.0,1.0,0,0.0
amd,2016-03-24,2.69,2.81,2.62,2.79,9791175.0,1.0,0,0.0
ame,2016-03-24,49.09,49.24,48.69,49.08,732725.9999999991,1.0,0,0.0
amg,2016-03-24,156.66,157.55,154.6,157.42,354298.0,1.0,0,0.0
amgn,2016-03-24,148.17,150.96,147.6,149.225,2528331.0,1.0,0,0.0
amp,2016-03-24,91.4,92.01,90.6501,91.97,1519381.0,1.0,0,0.0
amt,2016-03-24,99.4,100.62,98.86,100.35,1226510.0,1.0,0,0.0
amzn,2016-03-24,567.11,583.55,566.13,582.95,4922119.0,1.0,0,0.0
an,2016-03-24,47.85,48.04,47.07,47.985,741720.0,1.0,0,0.0
anf,2016-03-24,30.74,31.54,30.58,31.42,1410744.9999999981,1.0,0,0.0
antm,2016-03-24,138.57,140.0,137.78,139.96,1139141.999999999,1.0,0,0.0
aon,2016-03-24,100.03,101.32,99.67,101.13,2074006.000000001,1.0,0,0.0
apa,2016-03-24,47.01,48.86,46.58,48.85,4253317.999999996,1.0,0,0.0
apc,2016-03-24,44.88,46.5,44.34,46.29,7476686.000000004,1.0,0,0.0
apd,2016-03-24,144.04,144.36,141.32,141.77,1042053.0,1.0,0,0.0
aph,2016-03-24,56.62,57.43,56.3205,57.17,1337737.9999999986,1.0,0,0.0
apol,2016-03-24,8.23,8.32,8.16,8.26,918487.0,1.0,0,0.0
arg,2016-03-24,141.68,141.86,141.51,141.85,299267.0,1.0,0,0.0
ash,2016-03-24,106.89,107.35,105.71,107.23,466610.00000000047,1.0,0,0.0
ati,2016-03-24,15.56,16.2,15.352,16.1992,1339297.000000001,1.0,0,0.0
atvi,2016-03-24,32.1781,32.2872,31.6524,31.95,3534760.442999993,1.0,0,0.0
avb,2016-03-24,185.1,185.58,183.84,185.14,329647.0,1.0,0,0.0
avgo,2016-03-24,151.81,153.29,151.12,153.0,2355608.000000002,1.0,0,0.0
avp,2016-03-24,4.32,4.34,4.0,4.27,5763083.0,1.0,0,0.0
avy,2016-03-24,71.04,71.48,70.73,70.97,405709.99999999907,1.0,0,0.0
axp,2016-03-24,60.22,60.5386,59.59,60.49,3184483.0,1.0,0,0.0
azo,2016-03-24,803.48,808.4889999999998,798.31,803.2,233508.0,1.0,0,0.0
ba,2016-03-24,131.64,132.23,130.02,132.12,4219192.0000000065,1.0,0,0.0
bac,2016-03-24,13.41,13.7098,13.27,13.67,86111559.99999976,1.0,0,0.0
bax,2016-03-24,40.36,40.51,39.9,40.1,3775147.000000002,1.0,0,0.0
bbby,2016-03-24,49.51,49.7599,48.75,49.4,870768.0,1.0,0,0.0
bbt,2016-03-24,33.92,33.92,33.43,33.7,3947315.9999999963,1.0,0,0.0
bby,2016-03-24,31.44,31.66,31.0,31.27,2524232.0,1.0,0,0.0
bc,2016-03-24,45.84,46.83,45.4077,46.78,605922.9999999981,1.0,0,0.0
bcr,2016-03-24,198.03,198.65,196.28,198.25,287242.0,1.0,0,0.0
bdx,2016-03-24,148.49,149.28,147.74,149.12,552596.0000000009,1.0,0,0.0
ben,2016-03-24,38.06,38.14,37.675,38.1,2638548.0,1.0,0,0.0
bf.b,2016-03-24,96.35,97.24,96.04,96.45,295109.00000000023,1.0,0,0.0
bgg,2016-03-24,23.12,23.18,22.82,23.1,309942.9999999993,1.0,0,0.0
bhi,2016-03-24,44.27,44.85,43.7575,44.71,2293546.999999998,1.0,0,0.0
big,2016-03-24,43.51,44.54,43.24,44.22,726031.0000000006,1.0,0,0.0
biib,2016-03-24,253.79,257.54,251.13,254.69,979154.0,1.0,0,0.0
bk,2016-03-24,37.09,37.32,36.8,37.26,3256567.0,1.0,0,0.0
blk,2016-03-24,336.47,337.0,331.73,334.28,615882.0000000005,1.0,0,0.0
bll,2016-03-24,70.11,70.54,69.57,70.23,593401.0,1.0,0,0.0
bms,2016-03-24,51.91,52.18,51.47,51.85,480122.00000000047,1.0,0,0.0
bmy,2016-03-24,62.16,62.56,61.73,62.55,3985603.0,1.0,0,0.0
brcm,2016-01-29,54.54,54.74,54.52,54.67,7888393.0,1.0,0,0.0
brk.b,2016-03-24,140.52,140.6,139.56,140.14,2955158.0,1.0,0,0.0
bsx,2016-03-24,18.03,18.07,17.78,17.95,3793074.0,1.0,0,0.0
btu,2016-03-24,2.32,2.785,2.29,2.555,2513566.0,1.0,0,0.0
bvsn,2016-03-24,6.32,6.87,6.1201,6.8679999999999986,23892.0,1.0,0,0.0
bwa,2016-03-24,36.17,36.92,35.81,36.91,1328634.0,1.0,0,0.0
bxlt,2016-03-24,39.84,40.34,39.71,40.07,8971036.0,1.0,0,0.0
bxp,2016-03-24,123.78,124.25,122.35,123.88,549306.0,1.0,0,0.0
c,2016-03-24,41.78,41.94,41.03,41.94,21135579.00000003,1.0,0,0.0
ca,2016-03-24,30.49,30.86,30.38,30.73,1424900.0,1.0,0,0.0
cag,2016-03-24,43.7,44.35,43.49,44.06,4441893.000000001,1.0,0,0.0
cah,2016-03-24,80.915,82.15,80.51100000000002,81.49,1539272.0,1.0,0,0.0
cam,2016-03-24,65.51,66.07,65.21,66.03,1612954.0,1.0,0,0.0
car,2016-03-24,27.26,27.33,26.429,27.05,1968050.0,1.0,0,0.0
cat,2016-03-24,72.93,75.35,72.73,75.29,6424456.0,1.0,0,0.0
cb,2016-03-24,118.81,120.0,118.49,119.61,1093976.0,1.0,0,0.0
cbg,2016-03-24,28.0,28.2,27.76,28.03,3424685.0,1.0,0,0.0
cbs,2016-03-24,53.0,54.175,52.735,54.07,2602795.000000004,1.0,0,0.0
cce,2016-03-24,49.64,49.95,49.42,49.59,1663549.000000001,1.0,0,0.0
cci,2016-03-24,85.63,85.72,85.0,85.58,1873140.0,1.0,0,0.0
cck,2016-03-24,49.01,49.16,48.495,48.62,618094.0,1.0,0,0.0
ccl,2016-03-24,48.21,49.02,47.9,48.94,4020633.0000000056,1.0,0,0.0
celg,2016-03-24,99.21,101.98,98.1,100.56,3494040.0,1.0,0,0.0
cern,2016-03-24,52.49,52.91,51.13,51.46,2770511.0,1.0,0,0.0
cf,2016-03-24,32.53,32.53,31.45,31.93,3650461.000000002,1.0,0,0.0
cfg,2016-03-24,21.53,21.7,21.22,21.59,3683366.9999999925,1.0,0,0.0
chd,2016-03-24,91.61,92.04,91.05,91.46,523785.0,1.0,0,0.0
chk,2016-03-24,3.88,4.45,3.78,4.235,29221059.0,1.0,0,0.0
chrw,2016-03-24,73.09,73.77,72.98,73.74,533352.9999999981,1.0,0,0.0
ci,2016-03-24,137.09,138.32,136.88,137.99,388367.99999999907,1.0,0,0.0
cien,2016-03-24,18.2,18.73,18.01,18.57,2116958.0,1.0,0,0.0
cinf,2016-03-24,64.97,65.1384,64.6401,64.74,458227.99999999953,1.0,0,0.0
cl,2016-03-24,69.54,69.96,69.38,69.93,3438218.0,1.0,0,0.0
clf,2016-03-24,2.51,2.84,2.425,2.825,4532495.0,1.0,0,0.0
clx,2016-03-24,126.91,127.58,126.17,126.57,528905.9999999995,1.0,0,0.0
cma,2016-03-24,38.07,38.78,37.64,38.77,2353579.0,1.0,0,0.0
cmcsa,2016-03-24,58.73,60.1984,58.67,60.01,8562586.0,1.0,0,0.0
cme,2016-03-24,96.21,96.35,94.42,95.15,1066585.999999998,1.0,0,0.0
cmg,2016-03-24,471.44,472.35,462.45,471.55,998393.0,1.0,0,0.0
cmi,2016-03-24,106.76,107.46,104.84,107.4,1597736.9999999981,1.0,0,0.0
cms,2016-03-24,41.58,41.85,41.42,41.69,1076293.000000001,1.0,0,0.0
cnc,2016-03-24,62.7,64.65,62.64,63.7,3380304.0,1.0,0,0.0
cnp,2016-03-24,20.84,21.08,20.715,20.99,1691260.9999999925,1.0,0,0.0
cnx,2016-03-24,10.27,11.04,9.66,10.94,6184559.0,1.0,0,0.0
cof,2016-03-24,69.44,69.78,68.87,69.76,1914116.0,1.0,0,0.0
cog,2016-03-24,21.02,22.14,20.93,21.96,5210482.0,1.0,0,0.0
coh,2016-03-24,38.71,38.91,38.06,38.67,1651195.0,1.0,0,0.0
col,2016-03-24,90.87,91.31,90.13,91.23,311224.0000000005,1.0,0,0.0
cop,2016-03-24,38.93,40.1,38.53,40.04,7951980.0,1.0,0,0.0
cost,2016-03-24,153.24,154.1,150.85,151.43,2311554.0,1.0,0,0.0
cpb,2016-03-24,62.81,63.62,62.81,63.18,1343578.0,1.0,0,0.0
cpgx,2016-03-24,25.0,25.145,25.0,25.04,12413499.0,1.0,0,0.0
cr,2016-03-24,52.55,53.42,52.19,53.38,182617.00000000023,1.0,0,0.0
crm,2016-03-24,71.54,72.45,71.05,72.45,2428416.0,1.0,0,0.0
csc,2016-03-24,31.48,31.87,31.3901,31.86,508003.0,1.0,0,0.0
csco,2016-03-24,27.77,28.005,27.59,27.955,14064966.0,1.0,0,0.0
csra,2016-03-24,24.03,24.735,23.89,24.37,957330.0,1.0,0,0.0
csx,2016-03-24,25.77,26.18,25.505,26.17,4050117.9999999925,1.0,0,0.0
ctas,2016-03-24,86.24,87.96,85.94,87.52,1085365.0,1.0,0,0.0
ctb,2016-03-24,36.5,36.57,35.77,36.0,474448.0,1.0,0,0.0
ctl,2016-03-24,30.87,31.1649,30.68,31.16,4468504.0,1.0,0,0.0
ctsh,2016-03-24,58.82,60.64,58.78,60.31,4615365.0,1.0,0,0.0
ctxs,2016-03-24,76.51,76.8299,75.54,76.68,914927.0,1.0,0,0.0
cvc,2016-03-24,32.95,33.05,32.88,32.95,2370956.0,1.0,0,0.0
cvg,2016-03-24,26.37,26.75,26.32,26.6,255757.99999999953,1.0,0,0.0
cvs,2016-03-24,100.69,101.47,100.0,101.42,2642181.0,1.0,0,0.0
cvx,2016-03-24,92.73,94.94,92.25,94.85,6835484.999999989,1.0,0,0.0
cxo,2016-03-24,99.11,104.08,97.75,103.61,1354487.0,1.0,0,0.0
d,2016-03-24,73.51,73.6199,73.02,73.42,1391710.0,1.0,0,0.0
dal,2016-03-24,48.48,48.56,47.36,47.84,7994014.000000022,1.0,0,0.0
dd,2016-03-24,63.28,63.98,63.13,63.97,2699446.9999999925,1.0,0,0.0
ddr,2016-03-24,16.67,16.71,16.45,16.65,2198882.0,1.0,0,0.0
dds,2016-03-24,82.76,83.3,80.94,81.69,340191.0,1.0,0,0.0
de,2016-03-24,80.5,80.58,80.0,80.24,2740693.0,1.0,0,0.0
df,2016-03-24,17.22,17.41,17.01,17.13,2077874.0,1.0,0,0.0
dfs,2016-03-24,49.47,49.7,49.08,49.67,1705306.9999999981,1.0,0,0.0
dg,2016-03-24,84.2,84.53,83.66,83.96,2517945.000000004,1.0,0,0.25
dgx,2016-03-24,69.44,69.94,68.94,69.79,675663.0,1.0,0,0.0
dhi,2016-03-24,29.5,29.5,29.08,29.41,2964886.9999999963,1.0,0,0.0
dhr,2016-03-24,94.42,94.84,94.12,94.79,2524390.0,1.0,0,0.0
dis,2016-03-24,96.37,97.49,96.3,97.22,4622171.0,1.0,0,0.0
disca,2016-03-24,27.58,28.1,27.32,27.99,1989029.0,1.0,0,0.0
dlph,2016-03-24,71.85,72.6,70.95,72.38,2211422.999999998,1.0,0,0.0
dltr,2016-03-24,78.85,79.26,78.21,78.52,1214950.0,1.0,0,0.0
dlx,2016-03-24,58.98,59.88,58.59,59.87,249373.99999999988,1.0,0,0.0
dnb,2016-03-24,100.56,101.55,100.1,101.51,123209.99999999965,1.0,0,0.0
dnr,2016-03-24,2.07,2.29,2.0,2.27,12693577.0,1.0,0,0.0
do,2016-03-24,21.31,22.46,21.26,21.97,3814030.0,1.0,0,0.0
dov,2016-03-24,64.37,64.62,63.64,64.61,801143.0,1.0,0,0.0
dow,2016-03-24,50.83,51.33,50.51,51.31,4107167.0,1.0,0,0.0
dps,2016-03-24,89.54,90.1099,88.0,88.23,1343789.9999999986,1.0,0,0.0
dri,2016-03-24,66.47,66.475,65.29,65.76,1125676.0,1.0,0,0.0
dte,2016-03-24,88.99,89.62,88.72,89.46,615001.0000000005,1.0,0,0.0
duk,2016-03-24,79.54,80.11,79.33,79.76,2296992.9999999963,1.0,0,0.0
dv,2016-03-24,18.07,18.3,17.81,18.24,248509.0,1.0,0,0.0
dva,2016-03-24,71.71,72.01,71.06,71.55,404770.0,1.0,0,0.0
dvn,2016-03-24,24.92,26.63,24.6,26.46,11117323.0,1.0,0,0.0
dyn,2016-03-24,13.22,13.72,12.75,13.71,2087611.0,1.0,0,0.0
ea,2016-03-24,64.6,65.74,64.07,64.24,2925129.0,1.0,0,0.0
ebay,2016-03-24,24.12,24.365,24.0,24.33,12014177.0,1.0,0,0.0
ecl,2016-03-24,109.27,110.6,109.06,110.53,893077.0000000014,1.0,0,0.0
ed,2016-03-24,75.31,75.92,75.06,75.56,1030364.9999999992,1.0,0,0.0
efx,2016-03-24,110.73,111.25,109.09,111.23,874745.0000000006,1.0,0,0.0
eix,2016-03-24,71.75,71.93,70.82,71.34,1904377.0,1.0,0,0.0
el,2016-03-24,93.19,93.48,92.66,93.28,527501.0000000028,1.0,0,0.0
emc,2016-03-24,26.37,26.59,26.37,26.47,5725058.0,1.0,0,0.0
emn,2016-03-24,69.86,72.86,69.86,72.83,860968.0000000009,1.0,0,0.0
emr,2016-03-24,54.17,54.46,53.84,54.41,3053467.0,1.0,0,0.0
endp,2016-03-24,29.58,30.2299,29.0,29.64,3672891.0,1.0,0,0.0
eog,2016-03-24,72.42,74.91,72.3,74.31,3180421.0,1.0,0,0.0
eqix,2016-03-24,317.96,323.041,317.46,320.75,508742.00000000093,1.0,0,0.0
eqr,2016-03-24,72.19,72.55,71.77,72.49,1419047.0000000026,1.0,0,0.0
eqt,2016-03-24,61.89,65.06,61.45,64.57,1310466.0,1.0,0,0.0
es,2016-03-24,57.74,58.3,57.64,57.83,908603.9999999992,1.0,0,0.0
esrx,2016-03-24,66.91,67.61,66.23,67.38,4664359.0,1.0,0,0.0
ess,2016-03-24,227.74,228.08,224.74,226.24,261516.0,1.0,0,0.0
esv,2016-03-24,10.17,10.7861,10.05,10.59,4972118.0,1.0,0,0.0
etfc,2016-03-24,24.5,24.77,24.27,24.67,2598616.0,1.0,0,0.0
etn,2016-03-24,61.93,62.4,61.3101,62.39,1940332.000000004,1.0,0,0.0
etr,2016-03-24,77.84,78.99,77.59,78.84,709928.9999999986,1.0,0,0.0
ew,2016-03-24,85.23,87.64,85.13,87.36,1676817.0,1.0,0,0.0
exc,2016-03-24,34.72,35.36,34.35,35.32,5375852.0000000065,1.0,0,0.0
expd,2016-03-24,48.3,48.77,48.0601,48.66,1018879.0,1.0,0,0.0
expe,2016-03-24,108.14,108.25,106.5,107.69,1543961.9999999981,1.0,0,0.0
exr,2016-03-24,89.16,90.26,88.88,90.09,754097.0,1.0,0,0.0
f,2016-03-24,13.11,13.12,12.78,13.04,30121358.00000001,1.0,0,0.0
fast,2016-03-24,48.63,49.09,48.39,48.9,1816595.9999999981,1.0,0,0.0
fb,2016-03-24,112.13,113.09,111.67,113.06,16281676.0,1.0,0,0.0
fcx,2016-03-24,9.37,10.15,9.1,10.105,50229261.0,1.0,0,0.0
fdx,2016-03-24,161.3,162.808,160.54,162.65,971366.0,1.0,0,0.0
fe,2016-03-24,35.85,36.25,35.78,36.16,2688711.000000002,1.0,0,0.0
ffiv,2016-03-24,103.61,103.791,100.99,103.14,662601.0,1.0,0,0.0
fhn,2016-03-24,12.97,13.04,12.8,13.04,1258889.0000000035,1.0,0,0.0
fii,2016-03-24,28.07,28.27,27.89,28.21,317617.99999999953,1.0,0,0.0
fis,2016-03-24,62.67,62.775,61.95,62.62,1362143.0,1.0,0,0.0
fisv,2016-03-24,100.0,100.53,99.04,99.76,817881.0,1.0,0,0.0
fitb,2016-03-24,17.03,17.15,16.78,17.1,6238099.0,1.0,0,0.0
fl,2016-03-24,63.73,63.83,63.12,63.47,1680531.0,1.0,0,0.0
flir,2016-03-24,33.2,33.33,32.87,33.11,490083.0000000014,1.0,0,0.0
flr,2016-03-24,53.73,54.15,53.35,54.13,912504.0,1.0,0,0.0
fls,2016-03-24,43.96,44.14,43.33,44.13,1822575.9999999998,1.0,0,0.0
fmc,2016-03-24,41.01,41.27,40.09,40.55,809589.0,1.0,0,0.0
fosl,2016-03-24,43.31,44.04,42.87,43.98,561773.0,1.0,0,0.0
fox,2016-03-24,27.9,28.115,27.74,28.01,2560134.999999998,1.0,0,0.0
foxa,2016-03-24,27.58,27.845,27.55,27.74,5222086.000000004,1.0,0,0.0
frt,2016-03-24,151.93,152.57,151.22,152.35,439859.99999999977,1.0,0,0.0
fslr,2016-03-24,68.05,68.84,66.6101,68.46,1336330.0,1.0,0,0.0
fti,2016-03-24,26.35,27.03,26.11,26.97,1914869.0,1.0,0,0.0
ftr,2016-03-24,5.21,5.28,5.07,5.27,8811010.99999997,1.0,0,0.0
gas,2016-03-24,64.52,64.88,64.5,64.81,253244.0,1.0,0,0.0
gd,2016-03-24,132.4,132.4,127.73,129.1,3067762.0,1.0,0,0.0
ge,2016-03-24,30.91,31.11,30.82,31.1047,20352246.00000001,1.0,0,0.0
ggp,2016-03-24,28.81,28.87,28.54,28.74,2551714.0,1.0,0,0.0
ghc,2016-03-24,462.1,470.0,458.43,469.0,14111.0,1.0,0,0.0
gild,2016-03-24,89.61,92.82,89.44,91.32,13070633.999999993,1.0,0,0.0
gis,2016-03-24,60.59,61.89,60.59,61.36,4813538.0,1.0,0,0.0
glw,2016-03-24,19.89,20.285,19.825,20.26,6320997.999999993,1.0,0,0.0
gm,2016-03-24,30.88,30.97,30.39,30.96,8835337.000000004,1.0,0,0.0
gme,2016-03-24,30.34,30.5,29.61,30.28,3594692.999999996,1.0,0,0.0
gnw,2016-03-24,2.78,2.78,2.53,2.66,10697976.0,1.0,0,0.0
goog,2016-03-24,732.1,737.747,730.92,735.27,1344004.0,1.0,0,0.0
googl,2016-03-24,752.0,757.555,750.5,754.84,1365464.0,1.0,0,0.0
gpc,2016-03-24,97.13,97.8,96.93,97.74,416305.00000000093,1.0,0,0.0
gps,2016-03-24,28.6,28.8,28.23,28.75,3825064.0,1.0,0,0.0
gra,2016-03-24,70.48,71.08,69.86,70.62,548351.0,1.0,0,0.0
grmn,2016-03-24,39.16,39.16,38.4,38.97,685015.0,1.0,0,0.0
gs,2016-03-24,152.45,153.04,150.13,153.01,3476940.9999999963,1.0,0,0.0
gt,2016-03-24,31.99,32.325,31.72,32.18,1614482.0,1.0,0,0.0
gww,2016-03-24,228.05,231.05,227.76,229.27,476302.00000000093,1.0,0,0.0
hal,2016-03-24,34.41,35.31,34.28,35.24,5909446.999999978,1.0,0,0.0
har,2016-03-24,84.7,85.68,82.79,85.635,744854.0000000006,1.0,0,0.0
has,2016-03-24,77.63,78.0,77.11,77.34,813194.0,1.0,0,0.0
hban,2016-03-24,9.53,9.61,9.43,9.58,6890539.000000015,1.0,0,0.0
hbi,2016-03-24,28.08,28.31,27.66,28.17,1613457.9999999944,1.0,0,0.0
hca,2016-03-24,76.19,77.0,75.33,76.37,2253912.0,1.0,0,0.0
hcn,2016-03-24,66.45,67.13,65.85,66.96,1366668.000000002,1.0,0,0.0
hcp,2016-03-24,31.5,31.8,30.96,31.7,2725361.0,1.0,0,0.0
hd,2016-03-24,129.45,130.76,129.23,130.47,2865176.0000000037,1.0,0,0.0
hes,2016-03-24,50.46,52.27,49.69,52.1,3998807.000000015,1.0,0,0.0
hig,2016-03-24,45.44,45.655,45.12,45.58,2898117.0000000014,1.0,0,0.0
hls,2016-03-24,35.67,35.9,35.06,35.39,786778.0,1.0,0,0.0
hlt,2016-03-24,21.84,22.07,21.65,22.06,7053989.999999996,1.0,0,0.0
hog,2016-03-24,48.04,48.04,47.175,47.87,1761162.0000000037,1.0,0,0.0
hon,2016-03-24,111.34,111.98,111.0,111.4,1969557.9999999981,1.0,0,0.0
hot,2016-03-24,81.86,82.85,81.59,82.13,3620391.0,1.0,0,0.0
hp,2016-03-24,56.9,58.19,56.35,58.09,2582451.000000002,1.0,0,0.0
hpe,2016-03-24,17.41,17.64,17.11,17.58,7612565.999999996,1.0,0,0.0
hpq,2016-03-24,11.98,12.1,11.715,12.08,10657981.0,1.0,0,0.0
hrb,2016-03-24,26.84,27.085,26.6,26.61,2775505.999999999,1.0,0,0.0
hrl,2016-03-24,43.55,43.84,43.08,43.28,1257008.0,1.0,0,0.0
hrs,2016-03-24,78.6,79.35,77.8,78.07,668732.9999999981,1.0,0,0.0
hsbc,2016-03-24,31.13,31.26,31.02,31.22,2511937.0,1.0,0,0.0
hsic,2016-03-24,168.31,169.46,166.84,167.98,287477.0,1.0,0,0.0
hst,2016-03-24,16.1,16.25,15.77,16.18,6550943.0,1.0,0,0.0
hsy,2016-03-24,89.16,90.35,89.16,90.07,800758.0000000014,1.0,0,0.0
hum,2016-03-24,182.32,184.66,181.44,184.06,433975.0,1.0,0,0.0
iac,2016-03-24,45.86,46.19,45.02,45.67,589968.0,1.0,0,0.0
ibm,2016-03-24,144.75,148.22,144.48,147.96,4316217.0,1.0,0,0.0
ice,2016-03-24,235.38,236.44,232.85,234.41,473609.00000000093,1.0,0,0.0
iff,2016-03-24,112.59,113.78,111.74,113.24,615955.0000000003,1.0,0,0.0
igt,2016-03-24,17.39,17.79,17.13,17.6,521850.0,1.0,0,0.0
ilmn,2016-03-24,151.9,155.95,149.51,155.33,870126.0,1.0,0,0.0
intc,2016-03-24,31.86,31.95,31.7,31.88,11987637.0,1.0,0,0.0
intu,2016-03-24,101.38,102.12,100.62,101.89,1061291.0,1.0,0,0.0
ip,2016-03-24,40.5,40.82,40.22,40.81,2212820.999999998,1.0,0,0.0
ipg,2016-03-24,21.57,21.62,21.44,21.52,2765988.9999999963,1.0,0,0.0
ir,2016-03-24,60.75,61.36,60.63,61.32,1316219.999999998,1.0,0,0.0
irm,2016-03-24,32.7,32.82,32.38,32.76,685401.0000000005,1.0,0,0.0
isrg,2016-03-24,583.32,585.0,575.74,583.23,295764.0,1.0,0,0.0
itt,2016-03-24,36.55,36.69,35.7701,36.65,897500.0000000001,1.0,0,0.0
itw,2016-03-24,101.44,101.82,101.06,101.44,1238377.0,1.0,0,0.0
ivz,2016-03-24,30.02,30.34,29.82,30.34,1858636.9999999963,1.0,0,0.0
jbht,2016-03-24,85.5,86.1975,85.22,86.01,499379.0,1.0,0,0.0
jbl,2016-03-24,19.0,19.06,18.835,18.93,2075052.0,1.0,0,0.0
jci,2016-03-24,38.0,38.34,37.6,38.31,2147252.000000002,1.0,0,0.0
jcp,2016-03-24,10.9,10.93,10.54,10.91,10972068.0,1.0,0,0.0
jec,2016-03-24,43.35,43.4,42.92,43.27,628583.0,1.0,0,0.0
jnj,2016-03-24,107.83,108.61,107.75,108.3,5208406.0,1.0,0,0.0
jnpr,2016-03-24,25.52,25.55,24.96,25.37,5538104.0000000065,1.0,0,0.0
jns,2016-03-24,14.0,14.03,13.79,14.01,1004814.9999999992,1.0,0,0.0
joy,2016-03-24,15.04,15.655,14.44,15.61,3087423.9999999925,1.0,0,0.0
